Modelo,Fabricante,Interface,Tamanho,Forma de armazenamento,Capacidade em GB,RPM,Velocidade de Leitura2,Enterprise,Estoque Atual
9YZ162-036,Dell,SATA,"3.5""",HDD,500,7200,6Gb/s,não,#REF!
ASU630SS-240GQ,Adata,SATA,"2.5""",SSD,240,-,6Gb/s,não,#REF!
ASU650SS-120GT,Adata,SATA,"2.5""",SSD,120,-,6Gb/s,não,#REF!
BTP010302001000,,SATA,"3.5""",HDD,1000,5400,,,#REF!
CT2000MX500SSD1,Crucial,SATA,"2.5""",SSD,2000,-,6GB/s,não,#REF!
DG072ABAB3,HP,SAS,"2.5""",HDD,72,10000,300MB/s,não,#REF!
DS700SSD-240,Dato,SATA,"2.5""",SSD,240,-,6Gb/s,não,#REF!
DT01ACA050,Toshiba,SATA,"3.5""",HDD,500,7200,6Gb/s,não,#REF!
DT01ACA100,Toshiba,SATA,"3.5""",HDD,1000,7200,6GB/s,não,#REF!
H650-240,SOmnAmbulist,SATA,"2.5""",SSD,240,-,6Gb/s,não,#REF!
HD080HJ,Samsung,SATA,"3.5""",HDD,80,7200,3GB/s,não,#REF!
HD082GJ,Samsung,SATA,"3.5""",HDD,80,7200,3GB/s,não,#REF!
HD103SJ,Samsung,SATA,"3.5""",HDD,1000,7200,3GB/s,não,#REF!
HD161HJ,Samsung,SATA,"3.5""",HDD,160,7200,3GB/s,não,#REF!
HD322GJ,Samsung,SATA,"3.5""",HDD,320GB,7200,3GB/s,não,#REF!
HD502HJ,Samsung,SATA,"3.5""",HDD,500,7200,3GB/s,não,#REF!
HD503HI,Samsung,SATA,"3.5""",HDD,500,5400,300gb/s,não,#REF!
HDE721010SLA330,Hitachi,SATA,"3.5""",HDD,1000,7200,3GB/s,não,#REF!
HDEBF03DBA51,Dell,SAS,"2.5""",HDD,600,10000,12Gb/s,sim,#REF!
HDS721050DLE630,Toshiba,SATA,"3.5""",HDD,1000,7200,3GB/s,não,#REF!
HDT721032SLA360,Hitachi,SATA,"3.5""",HDD,320,7200,3GB/s,não,#REF!
HDT722525DLA380,Hitachi,SATA,"3.5""",HDD,250,7200,3GB/s,não,#REF!
HDT725025VLA380,Hitachi,SATA,"3.5""",HDD,250,7200,3GB/s,não,#REF!
HM502JX,Samsung,SATA,"2.5""",HDD,500,5400,3Gb/s,não,#REF!
HUA721010KLA330,Hitachi,SATA,"3.5""",HDD,1000,7200,3GB/s,não,#REF!
HUA722020ALA330,Hitachi,SATA,"3.5""",HDD,2000,7200,3GB/s,não,#REF!
HUC109030CSS600,Oracle,SAS,"2.5""",HDD,300,10000,6GB/s,não,#REF!
HUS156030VLS600,DELL,SAS,"3.5""",HDD,300,15000,6GB/s,não,#REF!
HUS156060VLS600,Hitachi,SAS,"3.5""",HDD,600,15000,6GB/s,não,#REF!
HUS722T1TALA600,Dell,SATA,"3.5""",HDD,1000,7200,3GB/s,não,#REF!
HUS724040ALS640,Oracle,SAS,"3.5""",HDD,4000,7200,6GB/s,não,#REF!
HX-MU050DA/AA2,Samsung,SATA,"2.5""",Externo,500,5400,480MB/s,não,#REF!
MAY2073RC,Fujitsu,SAS,"2.5""",HDD,73,10000,3Gb/s,não,#REF!
MB0500GCEHE,HP,SATA,"3.5""",HDD,500,7200,3GB/s,não,#REF!
MG03ACA100,Dell,SATA,"3.5""",HDD,1000,7200,3GB/s,não,#REF!
MG04ACA200NY,Dell,SATA,"3.5""",HDD,2000,7200,3GB/s,não,#REF!
MQ01ABD075,Toshiba,SATA,"2.5""",SSD,750,5400,3GB/s,não,#REF!
MQ01ABD100,Toshiba,SATA,"2.5""",HDD,1000,5400,3GB/s,não,#REF!
MTFDDAC050SAL,Micron,SATA,"2.5""",SSD,50,-,6GB/s,não,#REF!
P300 2.5,Micron,SATA,"2.5""",SSD,50,-,6GB/s,não,#REF!
S540,SuperSSpeed,SATA,"2.5""",SSD,120,-,6GB/s,não,#REF!
SA400S37/240G,Kingston,SATA,"2.5""",SSD,240,-,6GB/s,não,#REF!
SA400S37/480G,Kingston,SATA,"2.5""",SSD,480,-,6GB/s,não,#REF!
SDSSDA-240G,Sandisk,SATA,"2.5""",SSD,240,-,6GB/s,não,#REF!
SL10A28664,Lenovo,SATA,"3.5""",HDD,1000,7200,6GB/s,sim,#REF!
SRD0NF1,Seagate,SATA,"2.5""",HDD,1000,5400,,não,#REF!
ST1000DM003,Seagate,SATA,"3.5""",HDD,1000,7200,6GB/s,não,#REF!
ST1000LM024,Seagate,SATA,"3.5""",HDD,1000,5400,3GB/s,não,#REF!
ST1000NM0011,Dell,SATA,"3.5""",HDD,1000,7200,6GB/s,não,#REF!
ST2000DM001,Seagate,SATA,"3.5""",HDD,2000,7200,6GB/s,não,#REF!
ST2000DM008,Seagate,SATA,"3.5""",HDD,2000,7200,6GB/s,não,#REF!
ST2000LM002,Seagate,SATA,"3.5""",HDD,2000,5400,6GB/s,não,#REF!
ST2000LM003,Seagate,SATA,"2.5""",HDD,2000,5400,6Gb/s,não,#REF!
ST2000NM0011,Seagate,SATA,"3.5""",HDD,2000,7200,6GB/s,sim,#REF!
ST2000NM0023,Dell,SAS,"3.5""",HDD,2000,7200,6GB/s,não,#REF!
ST2000VM003,Seagate,SATA,"3.5""",HDD,2000,5900,6GB/s,não,#REF!
ST31000524AS,Seagate,SATA,"3.5""",HDD,1000,7200,6GB/s,não,#REF!
ST31000524NS,Dell,SATA,"3.5""",HDD,1000,7200,3GB/s,não,#REF!
ST3146356SS,Dell,SAS,"3.5""",HDD,146,15500,300gb/s,não,#REF!
ST3250318AS,Seagate,SATA,"3.5""",HDD,250,7200,3Gb/s,não,#REF!
ST3300655SS,Seagate,SAS,"3.5""",HDD,300,15500,300gb/s,não,#REF!
ST3300657SS,Seagate,SATA,"3.5""",HDD,300,15500,6Gb/s,não,#REF!
ST3300657SS-H,Dell,SAS,"3.5""",HDD,146,15500,300gb/s,não,#REF!
ST3320418AS,Seagate,SATA,"3.5""",HDD,320,7200,3GB/s,não,#REF!
ST3400832AS,Seagate,SATA,"3.5""",HDD,400,7200,1.5Gb/s,não,#REF!
ST3500312CS,Seagate,SATA,"3.5""",HDD,500,5900,3Gb/s,não,#REF!
ST3500413AS,Seagate,SATA,"3.5""",HDD,500,7200,3GB/s,não,#REF!
ST3500414SS,Dell,SAS,"3.5""",HDD,500,7200,6GB/s,sim,#REF!
ST3500418AS,Seagate,SATA,"3.5""",HDD,500,7200,3GB/s,não,#REF!
ST3500630NS,Seagate,SATA,"3.5""",HDD,500,7200,3GB/s,sim,#REF!
ST350640NS,Seagate,SATA,"3.5""",HDD,750,7200,3GB/s,não,#REF!
ST3600057SS,Seagate,SAS,"3.5""",HDD,600,15500,6GB/s,não,#REF!
ST3808110AS,Seagate,SATA,"3.5""",HDD,80,7200,3GB/s,não,#REF!
ST4000NM0033,Dell,SATA,"3.5""",HDD,4000,7200,6GB/s,sim,#REF!
ST5000DM000,Seagate,SATA,"3.5""",HDD,5000,5900,6GB/s,não,#REF!
ST500DM002,Seagate,SATA,"3.5""",HDD,500,7200,6GB/s,não,#REF!
ST500LM000,Seagate,SATA,"2.5""",HSSD,500,5400,6GB/s,não,#REF!
ST6000NM0095,Seagate,SAS,"3.5""",HDD,6000,7200,12Gb/s,sim,#REF!
ST600MM0006,Dell,SAS,"2.5""",HDD,600,10000,6GB/s,sim,#REF!
ST9300653SS,Seagate,SAS,"2.5""",HDD,300,15000,6GB/s,sim,#REF!
ST9500423AS,Seagate,SATA,"2.5""",HDD,500,7200,3GB/s,não,#REF!
ST9600105SS,IBM,SAS,"2.5""",HDD,600,10000,6GB/s,não,#REF!
ST980811AS,Seagate,SATA,"2.5""",HDD,80,5400,1.5Gb/s,não,#REF!
ST9900805SS,Seagate,SAS,"2.5""",HDD,900,10000,6GB/s,não,#REF!
STM3160215AS,Maxtor,SATA,"3.5""",HDD,160,7200,6Gb/s,não,#REF!
STM3250310AS,Maxtor,SATA,"3.5""",HDD,250,7200,6Gb/s,não,#REF!
SUV400S37/240G,Kingston,SATA,"2.5""",SSD,240,-,6Gb/s,não,#REF!
W500-480,Warrior,SATA,"2.5""",SSD,480,-,6Gb/s,não,#REF!
WD0SPZX,WD,SATA,"3.5""",HDD,1000,5400,6Gb/s,não,#REF!
WD1002FBYS,Dell,SATA,"3.5""",HDD,1000,7200,3Gb/s,sim,#REF!
WD10EADS-00L5B1,Western Digital,SATA,"3.5""",HDD,1000,5400,3Gb/s,não,#REF!
WD10EAVS,Western Digital,SATA,"3.5""",HDD,1000,7200,3Gb/s,não,#REF!
WD10EZEX,Western Digital,SATA,"3.5""",HDD,1000,7200,6Gb/s,não,#REF!
WD10SPZX,Western Digital,SATA,"2.5""",HDD,1000,5400,6Gb/s,não,#REF!
WD1600AABS,WD,SATA,"3.5""",HDD,160,7200,3Gb/s,não,#REF!
WD2500YS,WD,SATA,"3.5""",HDD,250,7200,3Gb/s,não,#REF!
WD3200AAKX ,WD,SATA,"3.5""",HDD,320,7200,6Gb/s,não,#REF!
WD5000AAKS,WD,SATA,"3.5""",HDD,500,7200,3Gb/s,não,#REF!
WD5000AAKX,WD,SATA,"3.5""",HDD,500,7200,6Gb/s,não,#REF!
WD5000AZLX,WD,SATA,"3.5""",HDD,500,7200,6Gb/s,não,#REF!
WD5003ABYX,Western Digital,SATA,"3.5""",HDD,500,7200,3Gb/s,sim,#REF!
Z16IZF2E-73UCU-ORC,Stec,SAS,"2.5""",SSD,100,-,6Gb/s,não,#REF!
