Modelo,Fabricante,Tipo,Capacidade GB,Velocidade MHz,Low Voltage,Rank,DIMM,Taxa de transmissão,Símbolo,Estoque Atual
M393B2G70QH0-YK0,Smart,DDR3,16,1600,sim,2Rx4,RDIMM,12800,R,#REF!
HMT31GR7BFR4C-H9,Hynix,DDR3,8,1333,não,2Rx4,UDIMM,10600,R,#REF!
HMT31GR7CFR4A-PB,Hynix,DDR3,8,1600,não,2Rx4,,12800,R,#REF!
LU1G082-533P005 CL4,Markvision,DDR2,0.512,533,não,,,4300,U,#REF!
KVR1333D3N9/4G,Kingston,DDR3,4,1333,não,2Rx8,UDIMM,10600,,#REF!
HMT351R7CFR8A-H9,Hynix,DDR3,4,1333,sim,2Rx8,RDIMM,10600,R,#REF!
SH5722G4FJ8P6TNSQS,Smart,DDR3,16,1600,sim,2Rx4,,12800,R,#REF!
HMT42GR7AFR4A-PB,SK Hynix,DDR3,16,1600,sim,2Rx4,RDIMM,12800,R,#REF!
HMT42GR7MFR4A-H9,SK Hynix,DDR3,16,1333,sim,2Rx4,RDIMM,10600,R,#REF!
MT36KSF2G72PZ-1G4,Micron,DDR3,16,1333,sim,2Rx4,RDIMM,10600,R,#REF!
M31B5273CH0-CH9,Samsung,DDR3,4,1333,não,2Rx8,UDIMM,10600,E,#REF!
M378B5173DB0-CK0,Samsung,DDR3,4,1600,não,1Rx8,UDIMM,12800,U,#REF!
M393B1G70BH0-YK0,Samsung,DDR3,8,1600,sim,1Rx4,RDIMM,12800,R,#REF!
M393B1K70CH0-YF8,Samsung,DDR3,8,1333,sim,2Rx4,RDIMM,8500,R,#REF!
M391B5773CH0-YH9,Smart,DDR3,2,1333,sim,1Rx8,RDIMM,10600,E,#REF!
M393B1K70CHD-CH9,Smart,DDR3,8,1333,não,2Rx4,RDIMM,10600,R,#REF!
M393B5170FH0-CH9,Samsung,DDR3,4,1333,não,2Rx4,RDIMM,10600,R,#REF!
MT18KSF1G72PZ-1G6E1HE,Micron,DDR3,8,1600,sim,1Rx4,,12800,R,#REF!
M393B5273DH0-YH9,Samsung,DDR3,4,1333,sim,2Rx8,RDIMM,10600,R,#REF!
M393B5273CH0-YH9,Samsung,DDR3,4,1333,sim,2Rx8,RDIMM,10600,R,#REF!
SH564128FH8N0TNSDG,Smart,DDR3,4,1600,não,2Rx8,UDIMM,12800,U,#REF!
HB3DU004GFM8MML16,HBS,DDR3,4,1333,não,2Rx8,,12800,U,#REF!
HMT351R7CFR4A-H9,Hynix,DDR3,4,1333,sim,2Rx8,RDIMM,10600,R,#REF!
M2F2G64CB88B7N-CG,Avant,DDR3,2,1333,não,1Rx8,,10600,U,#REF!
RMR1870EF48E8W-1333,Ramaxel,DDR3,2,1333,não,2Rx8,,10600,U,#REF!
MT18JSF25672PDZ-1G4F1DD,Micron,DDR3,2,1333,não,2Rx8,RDIMM,10600,R,#REF!
M37885673EH1-CF8,Smart,DDR3,2,1066,não,2Rx8,,8500,U,#REF!
AVF6456U64F9333GF-NYXBP,Avant,DDR3,2,1333,não,1Rx8,,10600,,#REF!
KVR1333D3N9/2G,Kingston,DDR3,2,1333,não,2Rx8,DIMM,10600,,#REF!
Z471CAP32816-1022 0921,Excellence,DDR3,4,1600,não,1Rx8,,,,#REF!
DMT125U6TFR8C-H9N0,Dynet,DDR3,2,1333,não,2Rx8,DIMM,10600,U,#REF!
KVR13N9S8/4,Kingston,DDR3,4,1333,não,1Rx8,DIMM,10600,,#REF!
BPC1333D3CL9/4G,Brazil PC,DDR3,4,1333,não,,DIMM,,,#REF!
TPD38G1600HC11BK,Team,DDR3,8,1600,não,,DIMM,12800,,#REF!
TPD34G1333HC9BK,Team,DDR3,4,1333,não,,DIMM,10600,,#REF!
M378B2873EH1-CF8,Smart,DDR3,1,1066,não,,,8500,U,#REF!
HMT31GR7BFR4C-PB,Hynix,DDR3,8,1600,não,2Rx4,RDIMM,12800,R,#REF!
M393T5750GZA-CE6,Smart,DDR2,2,667,não,2Rx4,DIMM,5300,P,#REF!
KVR533D2N4/1G,Kingston,DDR2,1,533,não,,DIMM,4200,,#REF!
LU1G082-533P005 CL4,Markvision,DDR2,1,533,não,,DIMM,4200,,#REF!
PC5300U-50550 3-9040901,Markvision,DDR2,1,667,não,,DIMM,5300,U,#REF!
BMD22048M0667C5-1029,Markvision,DDR2,2,667,não,,DIMM,,,#REF!
PC6400U-50550,Markvision,DDR2,2,800,não,,DIMM,6400,U,#REF!
KVR667D2N5/2G,Kingston,DDR2,2,667,não,,DIMM,5300,,#REF!
KTD-PE6950/4G,Kingston,DDR2,4,667,não,,DIMM,5300,,#REF!
KVR667D2/2GR,Kingston,DDR2,2,667,não,,DIMM,5300,,#REF!
KVR667D2N5/1G,Kingston,DDR2,1,667,não,,DIMM,5300,,#REF!
M378T2863QZS-CF7,Smart,DDR2,1,800,não,1Rx8,DIMM,6400,U,#REF!
SG564288FG8N6IL-Z2,Smart,DDR2,1,667,não,1Rx8,DIMM,5300,U,#REF!
NT2GT72U8PD0BV-3C,Nanya,DDR2,2,667,não,2Rx8,DIMM,5300,P,#REF!
PC256M6416U58AB2J-25E,SpecTek,DDR2,2,800,não,2Rx8,DIMM,6400,U,#REF!
HYMP525F72CP4N3-Y5,Hynix,DDR2,2,667,não,2Rx4,DIMM,5300,F,#REF!
HYMP151F72CP4N3-Y5,Hynix,DDR2,4,667,não,2Rx4,DIMM,5300,F,#REF!
M395T5750EZ4-CE6,Smart,DDR2,2,533,não,2Rx4,DIMM,5300,F,#REF!
SG5SD42N2G1CDNDSED,Smart,DDR2,2,667,não,2Rx4,DIMM,5300,F,#REF!
M393B1G70BH0-CK0,Smart,DDR3,8,1600,não,1Rx4,RDIMM,12800,R,#REF!
MT18JSF1G72PZ-1G6,Micron,DDR3,8,1600,não,1Rx4,RDIMM,12800,R,#REF!
M393B1G70QH0-CK0,Samsung,DDR3,8,1600,não,1Rx4,RDIMM,12800,R,#REF!
